,k/d,assists
460,16.6,0.223
461,18.3,0.179
462,15.8,0.271
463,14.6,0.06
464,11.8,0.209
465,21.6,0.24
466,23.3,0.187
467,16.9,0.187
468,10.1,0.169
469,13.5,0.266
470,20.8,0.22
471,17.3,0.214
472,27.9,0.217
473,24.9,0.242
474,13.3,0.249
475,14.5,0.264
476,12.8,0.29
477,16.7,0.206
478,12.6,0.24
479,19.1,0.202
480,16,0.219
481,15.9,0.189
482,7.8,0.19
483,22.9,0.289
484,14.1,0.266
485,15.2,0.153
486,12.9,0.243
487,7.7,0.018
488,11.5,0.274
489,11.4,0.328
490,15.2,0.195
491,11.3,0.158
492,8.6,0.205
493,12.9,0.232
494,7.1,0.138
495,18,0.234
496,11.8,0.318
497,19.4,0.207
498,19.4,0.22
499,12.6,0.182
500,13.4,0.169
501,16.1,0.256
502,19.8,0.281
503,19.8,0.182
504,11.5,0.249
505,14.9,0.209
506,18.6,0.256
507,18.4,0.174
508,11.8,0.247
509,13.6,0.207
510,13.5,0.261
511,15.7,0.279
512,20.5,0.296
513,12.1,0.206
514,23.6,0.215
515,16,0.234
516,12.9,0.166
517,16.2,0.192
518,19.8,0.213
519,12.9,0.199
520,10,0.245
521,16,0.219
522,14.8,0.168
523,15.5,0.217
524,13.4,0.233
525,14.2,0.213
526,13.2,0.236
527,18.8,0.196
528,19.5,0.132
529,18,0.247
530,21.6,0.17
531,15.6,0.188
532,12.6,0.254
533,19.3,0.24
534,21.9,0.285
535,15.9,0.227
536,14.6,0.273
537,14.8,0.221
538,15.4,0.226
539,23.4,0.182
540,12.6,0.231
541,15.8,0.185
542,23.8,0.251
543,14.9,0.251
544,15.8,0.272
545,15.4,0.233
546,18.2,0.227
547,17.5,0.254
548,21.5,0.2
549,19.5,0.166
550,17.2,0.192
551,16.1,0.237
552,15.6,0.315
553,13.5,0.245
554,13.1,0.168
555,13.2,0.222
556,9.4,0.287
557,9.1,0.257
558,8.8,0.169
559,12,0.236
560,12.4,0.226
561,11.4,0.225
562,15.4,0.251
563,19.7,0.149
564,8.5,0.15
565,18.1,0.179
566,20.1,0.183
567,12.4,0.174
568,7.1,0.25
569,9.7,0.156
570,16.7,0.173
571,14.8,0.215
572,13.4,0.22
573,11,0.283
574,15,0.251
575,12.1,0.23
576,20,0.178
577,11,0.266
578,16.7,0.222
579,16.4,0.261
580,13.6,0.213
581,22.2,0.219
582,28.9,0.223
583,13.5,0.209
584,16.4,0.23
585,15.7,0.246
586,22.3,0.258
587,12,0.254
588,14.2,0.172
589,17.5,0.245
590,19.3,0.191
591,15.5,0.217
592,12.4,0.228
593,11.1,0.228
594,15.7,0.271
595,19.6,0.235
596,14.2,0.224
597,14.7,0.245
598,21,0.235
599,15.1,0.257
600,15.1,0.281
601,16,0.253
602,13.5,0.24
603,13,0.25
604,10.7,0.215
605,11.9,0.248
606,17.5,0.225
607,12.3,0.257
608,11.8,0.245
609,15.7,0.252
610,14.2,0.166
611,15.5,0.2
612,19.7,0.25
613,11.7,0.216
614,13.7,0.222
615,16.9,0.223
616,18.4,0.182
617,13,0.21
618,10.3,0.201
619,16.4,0.216
620,7.8,0.143
621,22.6,0.212
622,18.6,0.134
623,10.6,0.191
624,17.7,0.282
625,16.1,0.205
626,13.6,0.221
627,21.9,0.203
628,11.8,0.198
629,15.5,0.24
630,18.3,0.229
631,12.7,0.212
632,11.8,0.222
633,18.8,0.193
634,14.3,0.144
635,16,0.22
636,18.3,0.211
637,12.1,0.239
638,19,0.152
639,14.8,0.28
640,19.4,0.083
641,12,0.21
642,22.5,0.276
643,14,0.247
644,16.5,0.193
645,18.8,0.244
646,16.7,0.207
647,14.9,0.205
648,12,0.221
649,16.2,0.18
650,20,0.162
651,29.9,0.18
652,28.7,0.154
653,18.9,0.202
654,20.4,0.198
655,14.1,0.206
656,20.4,0.163
657,16.3,0.191
658,17.7,0.23
659,11.7,0.225
660,15.2,0.215
661,14.9,0.238
662,10.6,0.091
663,15.5,0.255
664,13.9,0.241
665,21.5,0.259
666,19.3,0.259
667,21.8,0.202
668,14.4,0.183
669,17.6,0.263
670,10.8,0.18
671,26.2,0.193
672,15.1,0.255
673,16.6,0.168
674,10.3,0.247
675,0,0.203
676,10.5,0.26
677,8.4,0.174
678,9.7,0.14
679,14,0.212
680,13.6,0.245
681,24.9,0.248
682,11.7,0.285
683,13.7,0.189
684,16.1,0.186
685,18.2,0.233
686,20.7,0.208
687,30.6,0.29
688,14.7,0.268
689,10.4,0.197
690,14.7,0.23
691,11,0.272
692,21,0.243
693,13.4,0.229
694,11.9,0.089
695,17.1,0.241
696,12.7,0.27
697,17.4,0.21
698,17.8,0.211
699,11.7,0.194
700,20.2,0.228
701,16.8,0.228
702,10.3,0.098
703,18.7,0.241
704,12.3,0.234
705,13.1,0.238
706,13.8,0.221
707,12.4,0.233
708,13.6,0.238
709,11.5,0.194
710,10.4,0.227
711,12.5,0.231
712,12.5,0.257
713,23.4,0.261
714,19.4,0.221
715,16.7,0.268
716,19.7,0.209
717,19,0.216
718,12.1,0.189
719,18.6,0.236
720,16,0.266
721,15.4,0.212
722,18.2,0.163
723,13.5,0.25
724,17.4,0.228
725,21.5,0.192
726,9.1,0.064
727,17,0.221
728,12.9,0.22
729,14.7,0.211
730,21.8,0.213
731,15.9,0.199
732,11.1,0.183
733,20.9,0.209
734,23.5,0.238
735,17.2,0.243
736,15.3,0.288
737,14.4,0.198
738,22.2,0.215
739,24.1,0.197
740,13.7,0.196
741,16.7,0.215
742,13.4,0.256
743,24.2,0.202
744,20.8,0.257
745,16.1,0.255
746,19.6,0.2
747,14.8,0.201
748,18,0.198
749,24.2,0.229
750,16.2,0.158
751,12.7,0.185
752,14.4,0.234
753,15.6,0.209
754,14.1,0.208
755,14.9,0.244
756,17,0.222
757,15,0.243
758,13.3,0.246
759,16.9,0.232
760,20.5,0.249
761,31.2,0.195
762,16.2,0.164
763,20.4,0.294
764,31.9,0.137
765,6,0.192
766,36.3,0.259
767,17.5,0.23
768,15.6,0.292
769,14.9,0.263
770,13.8,0.228
771,19,0.19
772,19,0.236
773,16.2,0.193
774,23.2,0.184
775,8.1,0.265
776,8.7,0.137
777,13.4,0.341
778,15.7,0.215
779,16.7,0.263
780,15.2,0.265
781,15.8,0.251
782,15.5,0.162
783,22.5,0.199
784,16.1,0.188
785,9.1,0.143
786,19.4,0.176
787,11,0.19
788,12.3,0.167
789,13.9,0.29
790,8.7,0.208
791,19.5,0.299
792,18.8,0.222
793,10.9,0.248
794,19.9,0.199
795,12.5,0.231
796,11.8,0.213
797,12.5,0.259
798,19.9,0.256
799,11.3,0.239
800,11.5,0.274
801,24.6,0.292
802,21.6,0.291
803,12.1,0.203
804,17.4,0.229
805,20.6,0.239
806,15.4,0.217
807,14.6,0.219
808,13.7,0.235
809,9.7,0.243
810,14.4,0.253
811,12.5,0.195
812,11.9,0.206
813,17.2,0.247
814,13.8,0.183
815,18.1,0.27
816,10.9,0.291
817,14.5,0.189
818,14.7,0.208
819,13.4,0.279
820,21.1,0.211
821,16.8,0.204
822,12.1,0.231
823,17.2,0.278
824,20.4,0.226
825,12.8,0.211
826,21.9,0.182
827,12.5,0.215
828,14.7,0.154
829,17.4,0.277
830,13.6,0.182
831,23.1,0.227
832,15.6,0.23
833,19.8,0.225
834,13.7,0.165
835,15.4,0.2
836,14.7,0.266
837,21.1,0.256
838,15,0.206
839,24.1,0.217
840,12.9,0.268
841,16.6,0.211
842,21.9,0.206
843,16.4,0.27
844,14.3,0.233
845,16.2,0.137
846,11.9,0.206
847,18.3,0.172
848,17.4,0.213
849,18.6,0.235
850,12.3,0.197
851,16,0.242
852,13.1,0.217
853,15.5,0.248
854,14.4,0.191
855,15.1,0.238
856,10.7,0.183
857,9.7,0.235
858,17.9,0.23
859,12.1,0.171
860,13.9,0.169
861,15.7,0.193
862,11.2,0.243
863,21.7,0.215
864,8.8,0.168
865,0,0.081
866,21.6,0.255
867,12,0.257
868,12.7,0.219
869,31.2,0.106
870,15.8,0.17
871,11.5,0.252
872,22.7,0.256
873,14.2,0.257
874,10.9,0.256
875,9.5,0.213
876,12.6,0.268
877,13.4,0.281
878,10.4,0.253
879,15.3,0.246
880,10.2,0.236
881,14,0.218
882,13.5,0.282
883,9.8,0.256
884,9.9,0.224
885,12,0.207
886,12.7,0.219
887,10.9,0.215
888,10.5,0.242
889,14.4,0.25
890,17.2,0.131
891,17.8,0.371
892,12.5,0.192
893,29.5,0.218
894,26.3,0.177
895,13.5,0.21
896,27.3,0.245
897,13,0.216
898,12,0.206
899,12.4,0.07
900,11.4,0.237
901,11,0.242
902,10.8,0.181
903,13,0.126
904,16.1,0.242
905,21.3,0.238
906,14.5,0.194
907,13.2,0.252
908,16.2,0.234
909,12.7,0.252
910,18.6,0.203
911,14.7,0.238
912,16,0.208
913,13.2,0.28
914,12.5,0.215
915,14.5,0.286
916,15.2,0.223
917,16.9,0.222
918,16.7,0.183
919,11.6,0.228
920,11.4,0.263
921,18.1,0.278
922,23.2,0.194
923,24.6,0.071
924,7,0.292
925,8.4,0.202
926,11.1,0.143
927,12.1,0.108
928,27.5,0.184
929,14.8,0.215
930,20.8,0.18
931,21.4,0.245
932,18.3,0.209
933,19.3,0.222
934,23.9,0.166
935,20.3,0.183
936,27.5,0.201
937,16.5,0.23
938,13,0.243
939,11.1,0.059
940,10.1,0.207
941,11.8,0.27
942,9,0.222
943,17.7,0.124
944,19.3,0.249
945,12.9,0.209
946,14.9,0.181
947,16.8,0.248
948,16,0.243
949,16.9,0.265
950,15.6,0.198
951,15.1,0.214
952,14.3,0.221
953,14.1,0.213
954,13.4,0.21
955,11.5,0.235
956,12.2,0.194
957,16.9,0.19
958,12.6,0.212
959,13.5,0.276
960,19.7,0.297
961,20.6,0.282
962,16.7,0.235
963,19.8,0.21
964,7.6,0.166
965,15.9,0.172
966,21.8,0.213
967,18.6,0.263
968,14.3,0.223
969,14.2,0.225
970,12.1,0.252
971,13.4,0.223
972,12,0.228
973,15.9,0.226
974,12.6,0.19
975,10.2,0.2
976,17.4,0.274
977,11.5,0.211
978,16.6,0.147
979,8.7,0.178
980,22.4,0.132
981,9.5,0.162
982,7.4,0.13
983,18.7,0.246
984,36.2,0.278
985,17.1,0.193
986,15.1,0.182
987,15.9,0.239
988,9.7,0.218
989,12.5,0.166
990,17.3,0.248
991,17.5,0.244
992,13.5,0.206
993,14.2,0.216
994,16.8,0.236
995,20.8,0.214
996,12.4,0.203
997,16.7,0.242
998,16.7,0.258
999,19.9,0.205
1000,13.4,0.229
1001,26.7,0.245
1002,14,0.181
1003,11.7,0.188
1004,8.2,0.138
1005,11.3,0.212
1006,10.8,0.197
1007,18.9,0.239
1008,19.8,0.197
1009,13,0.226
1010,13.6,0.244
1011,11.9,0.229
1012,18.8,0.197
1013,12.3,0.18
1014,16.2,0.24
1015,17,0.27
1016,21.1,0.276
1017,14.8,0.24
1018,18.7,0.171
1019,10.6,0.218
1020,13.2,0.128
1021,24,0.198
1022,35.8,0.19
1023,12.5,0.233
1024,11.2,0.223
1025,17.7,0.247
1026,22.4,0.262
1027,18.6,0.232
1028,11.1,0.24
1029,15.2,0.234
1030,14.8,0.171
1031,18.2,0.168
1032,17.6,0.246
1033,14.5,0.199
1034,14.5,0.197
1035,14.9,0.22
1036,12.8,0.261
1037,16.6,0.288
1038,24.9,0.287
1039,15.6,0.216
1040,12,0.229
1041,23.1,0.223
1042,21.2,0.269
1043,14.5,0.271
1044,18.5,0.244
1045,21.1,0.22
1046,21.6,0.153
1047,37.8,0.317
1048,19.5,0.217
1049,16.5,0.21
1050,15.5,0.251
1051,15,0.219
1052,13.9,0.205
1053,16.3,0.228
1054,14.9,0.21
1055,14.4,0.236
1056,12.1,0.192
1057,19.9,0.216
1058,20.6,0.232
1059,16.7,0.204
1060,16,0.259
1061,17.9,0.208
1062,21.5,0.24
1063,17.5,0.207
1064,20.7,0.231
1065,17.4,0.246
1066,24.5,0.256
1067,14.3,0.177
1068,18.2,0.211
1069,16.7,0.225
1070,15.1,0.143
1071,22.9,0.157
1072,16.2,0.245
1073,23.3,0.164
1074,29,0.106
1075,10.4,0.291
1076,12,0.209
1077,21.6,0.293
1078,14.8,0.227
1079,13.5,0.172
1080,14.7,0.241
1081,14.8,0.189
1082,26.9,0.176
1083,17.2,0.22
1084,18.7,0.217
1085,16.7,0.173
1086,13.8,0.151
1087,24.4,0.182
1088,22,0.143
1089,15.6,0.245
1090,12.1,0.24
1091,13.6,0.216
1092,15,0.273
1093,16.6,0.243
1094,12.5,0.32
1095,14.4,0.308
1096,13.5,0.242
1097,18.4,0.279
1098,15.9,0.198
1099,15.3,0.241
1100,12.9,0.235
1101,15.7,0.217
1102,12.3,0.176
1103,13.6,0.24
1104,17.4,0.252
1105,25.3,0.233
1106,22,0.145
1107,16.6,0.221
1108,14.6,0.23
1109,20.5,0.222
1110,17.7,0.202
1111,17.5,0.23
1112,21.6,0.197
1113,13.7,0.265
1114,20.9,0.268
1115,11.1,0.23
1116,12,0.229
1117,13.4,0.231
1118,11.2,0.097
1119,16.5,0.258
1120,13.1,0.249
1121,19.2,0.22
1122,16.9,0.221
1123,16.5,0.212
1124,19.8,0.288
1125,14.4,0.233
1126,16.8,0.213
1127,19.2,0.201
1128,21.1,0.218
1129,21.8,0.269
1130,17.3,0.212
1131,9,0.265
1132,27.4,0.19
1133,14.5,0.266
1134,16.1,0.206
1135,20.3,0.151
1136,14.8,0.238
1137,22.1,0.181
1138,15.6,0.13
1139,13.9,0.174
1140,17.7,0.179
1141,19.9,0.121
1142,19.8,0.148
1143,13.5,0.326
1144,22.9,0.194
1145,16.4,0.255
1146,21.1,0.267
1147,10.1,0.194
1148,15.2,0.21
1149,18.9,0.182
1150,11,0.144
1151,16.4,0.223
1152,18.7,0.255
1153,13.8,0.222
1154,18.2,0.201
1155,10.9,0.286
1156,11.9,0.212
1157,15,0.221
1158,7.9,0.218
1159,20.3,0.242
1160,14.5,0.269
1161,15.3,0.3
1162,10.3,0.209
1163,14,0.238
1164,10.2,0.253
1165,14.9,0.233
1166,10.7,0.22
1167,12.8,0.258
1168,16.3,0.241
1169,11.4,0.211
1170,20.4,0.203
1171,12,0.22
1172,16,0.205
1173,15.3,0.267
1174,14.5,0.214
1175,24.8,0.208
1176,13.7,0.259
1177,18.7,0.187
1178,15.7,0.215
1179,13.2,0.214
1180,15.4,0.201
1181,19.7,0.22
1182,14.9,0.216
1183,14.6,0.273
1184,13.6,0.245
1185,8.8,0.207
1186,17.1,0.214
1187,8.6,0.14
1188,13.3,0.242
1189,19.2,0.226
1190,12.7,0.184
1191,16.8,0.257
1192,10.7,0.283
1193,14.7,0.226
1194,21.9,0.23
1195,14.3,0.229
1196,15.6,0.288
1197,12.2,0.26
1198,16.1,0.204
1199,14.8,0.232
1200,17,0.193
1201,14,0.221
1202,12.8,0.213
1203,12.7,0.21
1204,16.1,0.233
1205,15,0.292
1206,16.6,0.207
1207,12.2,0.208
1208,13.2,0.24
1209,16,0.204
1210,26.1,0.216
1211,15.6,0.216
1212,15.4,0.203
1213,16.3,0.247
1214,11.4,0.217
1215,25.2,0.205
1216,12,0.253
1217,20.9,0.27
1218,26,0.101
1219,17.5,0.248
1220,13.1,0.223
1221,20.1,0.201
1222,14.6,0.195
1223,14.4,0.195
1224,14.7,0.193
1225,15.1,0.219
1226,11.6,0.172
1227,10.9,0.203
1228,7.8,0.17
1229,11.2,0.362
1230,14,0.23
1231,17.8,0.215
1232,10.8,0.184
1233,14,0.2
1234,13.8,0.223
1235,19.8,0.318
1236,17.4,0.216
1237,13.1,0.259
1238,16.7,0.224
1239,26.1,0.188
1240,14.4,0.13
1241,22.5,0.211
1242,13.8,0.207
1243,17.1,0.254
1244,16.9,0.254
1245,25.3,0.203
1246,14.1,0.235
1247,10.5,0.27
1248,15.5,0.256
1249,14.3,0.274
1250,17.4,0.267
1251,14.2,0.231
1252,14.4,0.264
1253,9.6,0.248
1254,16.3,0.23
1255,18.1,0.304
1256,16.6,0.252
1257,18.5,0.242
1258,19.8,0.203
1259,14.6,0.169
1260,11.1,0.195
1261,17.3,0.266
1262,11,0.209
1263,22.8,0.212
1264,12.9,0.232
1265,15.8,0.238
1266,11.6,0.208
1267,12.5,0.249
1268,17.6,0.191
1269,14,0.293
1270,20.3,0.233
1271,13.9,0.193
1272,13.8,0.209
1273,16,0.156
1274,15.1,0.166
1275,19.1,0.2
1276,20.4,0.248
1277,17.8,0.22
1278,21,0.218
1279,9.8,0.236
1280,17,0.213
1281,14.3,0.254
1282,19.5,0.25
1283,16,0.251
1284,11.4,0.252
1285,14.9,0.195
1286,21.7,0.218
1287,16.5,0.193
1288,11.3,0.221
1289,22.3,0.208
1290,14.6,0.212
1291,24.7,0.221
1292,15.4,0.198
1293,17.5,0.27
1294,21.6,0.19
1295,19.9,0.182
1296,20.9,0.22
1297,14.2,0.247
1298,5.6,0.204
1299,12.6,0.355
1300,23,0.164
1301,25.4,0.238
1302,23.1,0.348
1303,13.7,0.194
1304,11.9,0.25
1305,18.8,0.331
1306,24.6,0.209
1307,12.4,0.134
1308,10.1,0.254
1309,16,0.187
1310,21.4,0.278
1311,22.7,0.204
1312,19.2,0.161
1313,21.8,0.205
1314,21.3,0.272
1315,16.3,0.07
1316,12.9,0.239
1317,20,0.26
1318,11.8,0.182
1319,18,0.206
1320,15.9,0.217
1321,14.2,0.211
1322,14.7,0.224
1323,18.4,0.235
1324,22,0.181
1325,13.3,0.183
1326,11.2,0.22
1327,15.7,0.105
1328,21.3,0.186
1329,14.4,0.215
1330,9.2,0.224
1331,8.7,0.032
1332,9.2,0.178
1333,18.2,0.183
1334,12.1,0.191
1335,11.9,0.326
1336,11.5,0.227
1337,15.9,0.234
1338,20.4,0.22
1339,15.5,0.282
1340,16.5,0.236
1341,17.2,0.172
1342,14.8,0.221
1343,12.9,0.154
1344,23.4,0.237
1345,19.8,0.178
1346,18.6,0.241
1347,13.9,0.227
1348,14.1,0.212
1349,14.7,0.293
1350,18.8,0.226
1351,10.7,0.228
1352,18.7,0.249
1353,8.8,0.199
1354,11.7,0.169
1355,23,0.198
1356,8.8,0.182
1357,11.5,0.189
1358,13.3,0.256
1359,8.8,0.151
1360,9.1,0.188
1361,13,0.25
1362,12.6,0.205
1363,11.4,0.163
1364,8.9,0.18
1365,14.9,0.179
1366,6.4,0.215
1367,15.8,0.148
1368,26.1,0.189
1369,22,0.247
1370,15.5,0.223
1371,15.5,0.056
1372,16,0.259
1373,20.3,0.234
1374,17.1,0.227
1375,16.3,0.212
1376,11.8,0.214
1377,11.4,0.196
1378,19.9,0.215
1379,15.8,0.246
1380,10.2,0.153
1381,19.4,0.258
1382,9.8,0.253
1383,14.6,0.188
1384,13.6,0.225
1385,14.9,0.268
1386,11.5,0.217
